from_stop_id,from_stop_name,to_stop_id,to_stop_name,min_travel_time_seconds,line
L06N,1 Av,L05N,3 Av,60,NA
L06S,1 Av,L08S,Bedford Av,210,NA
624N,103 St,623N,110 St,60,NA
119S,103 St,120S,96 St,120,NA
624S,103 St,625S,96 St,90,NA
A18S,103 St,A19S,96 St,60,NA
119N,103 St,118N,Cathedral Pkwy (110 St),60,NA
A18N,103 St,A17N,Cathedral Pkwy (110 St),60,NA
706N,103 St-Corona Plaza,705N,111 St,60,NA
706S,103 St-Corona Plaza,707S,Junction Blvd,60,NA
A63S,104 St,A64S,111 St,60,NA
J14N,104 St,J13N,111 St,120,NA
J14N,104 St,J12N,121 St,180,NA
A63N,104 St,A61N,Rockaway Blvd,90,NA
J14S,104 St,J15S,Woodhaven Blvd,90,NA
623S,110 St,624S,103 St,60,NA
623N,110 St,622N,116 St,60,NA
705S,111 St,706S,103 St-Corona Plaza,60,NA
A64N,111 St,A63N,104 St,60,NA
J13S,111 St,J14S,104 St,120,NA
J13N,111 St,J12N,121 St,90,NA
705N,111 St,702N,Mets-Willets Point,120,NA
A64S,111 St,A65S,Ozone Park-Lefferts Blvd,60,NA
J13N,111 St,G06N,Sutphin Blvd-Archer Av-JFK Airport,300,NA
J13S,111 St,J15S,Woodhaven Blvd,180,NA
622S,116 St,623S,110 St,60,NA
226N,116 St,225N,125 St,90,NA
622N,116 St,621N,125 St,90,NA
A16N,116 St,A15N,125 St,90,NA
A16S,116 St,A17S,Cathedral Pkwy (110 St),90,NA
226S,116 St,227S,Central Park North (110 St),60,NA
117N,116 St-Columbia University,116N,125 St,120,NA
117S,116 St-Columbia University,118S,Cathedral Pkwy (110 St),60,NA
J12S,121 St,J14S,104 St,180,NA
J12S,121 St,J13S,111 St,90,NA
J12N,121 St,G06N,Sutphin Blvd-Archer Av-JFK Airport,240,NA
225S,125 St,226S,116 St,90,NA
621S,125 St,622S,116 St,90,NA
A15S,125 St,A16S,116 St,90,NA
116S,125 St,117S,116 St-Columbia University,120,NA
225N,125 St,224N,135 St,90,NA
A15N,125 St,A14N,135 St,90,NA
116N,125 St,115N,137 St-City College,90,NA
621N,125 St,416N,138 St-Grand Concourse,150,NA
A15N,125 St,A12N,145 St,150,NA
A15N,125 St,D13N,145 St,210,NA
621N,125 St,415N,149 St-Grand Concourse,300,NA
621N,125 St,619N,3 Av-138 St,180,NA
A15S,125 St,A24S,59 St-Columbus Circle,480,NA
621S,125 St,626S,86 St,270,NA
224S,135 St,225S,125 St,90,NA
A14S,135 St,A15S,125 St,90,NA
224N,135 St,302N,145 St,120,NA
A14N,135 St,A12N,145 St,90,NA
A14N,135 St,D13N,145 St,90,NA
224N,135 St,222N,149 St-Grand Concourse,180,NA
115S,137 St-City College,116S,125 St,90,NA
115N,137 St-City College,114N,145 St,90,NA
416S,138 St-Grand Concourse,621S,125 St,120,NA
416N,138 St-Grand Concourse,222N,149 St-Grand Concourse,150,NA
416N,138 St-Grand Concourse,415N,149 St-Grand Concourse,90,NA
132N,14 St,131N,18 St,60,NA
A31N,14 St,A30N,23 St,90,NA
D19N,14 St,D18N,23 St,90,NA
132N,14 St,128N,34 St-Penn Station,150,NA
A31N,14 St,A28N,34 St-Penn Station,180,NA
132S,14 St,137S,Chambers St,270,NA
132S,14 St,133S,Christopher St-Sheridan Sq,90,NA
A31S,14 St,A32S,W 4 St-Wash Sq,120,NA
D19S,14 St,D20S,W 4 St-Wash Sq,90,NA
635N,14 St-Union Sq,634N,23 St,90,NA
R20N,14 St-Union Sq,R19N,23 St,90,NA
L03S,14 St-Union Sq,L05S,3 Av,30,NA
R20N,14 St-Union Sq,R17N,34 St-Herald Sq,150,NA
L03N,14 St-Union Sq,L02N,6 Av,90,NA
R20S,14 St-Union Sq,R21S,8 St-NYU,90,NA
635S,14 St-Union Sq,636S,Astor Pl,90,NA
635S,14 St-Union Sq,640S,Brooklyn Bridge-City Hall,270,NA
R20S,14 St-Union Sq,Q01S,Canal St,240,NA
635N,14 St-Union Sq,631N,Grand Central-42 St,210,NA
A12S,145 St,A15S,125 St,210,NA
D13S,145 St,A15S,125 St,210,NA
302S,145 St,224S,135 St,120,NA
A12S,145 St,A14S,135 St,90,NA
D13S,145 St,A14S,135 St,120,NA
114S,145 St,115S,137 St-City College,90,NA
A12N,145 St,A11N,155 St,90,NA
D13N,145 St,D12N,155 St,90,NA
114N,145 St,113N,157 St,120,NA
A12N,145 St,A09N,168 St,180,NA
302N,145 St,301N,Harlem-148 St,60,NA
D13N,145 St,D07N,Tremont Av,450,NA
415S,149 St-Grand Concourse,621S,125 St,390,NA
222S,149 St-Grand Concourse,224S,135 St,180,NA
222S,149 St-Grand Concourse,416S,138 St-Grand Concourse,150,NA
415S,149 St-Grand Concourse,416S,138 St-Grand Concourse,90,NA
415N,149 St-Grand Concourse,414N,161 St-Yankee Stadium,90,NA
222N,149 St-Grand Concourse,221N,3 Av-149 St,90,NA
F25N,15 St-Prospect Park,F24N,7 Av,90,NA
F25S,15 St-Prospect Park,F26S,Fort Hamilton Pkwy,120,NA
A11S,155 St,A12S,145 St,90,NA
D12S,155 St,D13S,145 St,90,NA
D12N,155 St,D11N,161 St-Yankee Stadium,90,NA
A11N,155 St,A10N,163 St-Amsterdam Av,90,NA
113S,157 St,114S,145 St,120,NA
113N,157 St,112N,168 St-Washington Hts,90,NA
414S,161 St-Yankee Stadium,415S,149 St-Grand Concourse,150,NA
D11S,161 St-Yankee Stadium,D12S,155 St,90,NA
414N,161 St-Yankee Stadium,413N,167 St,90,NA
D11N,161 St-Yankee Stadium,D10N,167 St,120,NA
A10S,163 St-Amsterdam Av,A11S,155 St,60,NA
A10N,163 St-Amsterdam Av,A09N,168 St,90,NA
413S,167 St,414S,161 St-Yankee Stadium,120,NA
D10S,167 St,D11S,161 St-Yankee Stadium,120,NA
413N,167 St,412N,170 St,90,NA
D10N,167 St,D09N,170 St,90,NA
413N,167 St,409N,Burnside Av,300,NA
A09S,168 St,A12S,145 St,210,NA
A09S,168 St,A10S,163 St-Amsterdam Av,60,NA
A09N,168 St,A07N,175 St,120,NA
112S,168 St-Washington Hts,113S,157 St,90,NA
112N,168 St-Washington Hts,111N,181 St,120,NA
F02N,169 St,F01N,Jamaica-179 St,120,NA
F02S,169 St,F03S,Parsons Blvd,90,NA
412S,170 St,413S,167 St,90,NA
D09S,170 St,D10S,167 St,90,NA
D09N,170 St,D08N,174-175 Sts,90,NA
412N,170 St,411N,Mt Eden Av,60,NA
215S,174 St,216S,Freeman St,120,NA
215N,174 St,214N,West Farms Sq-E Tremont Av,90,NA
D08S,174-175 Sts,D09S,170 St,90,NA
D08N,174-175 Sts,D07N,Tremont Av,90,NA
A07S,175 St,A09S,168 St,120,NA
A07N,175 St,A06N,181 St,60,NA
410N,176 St,409N,Burnside Av,90,NA
410S,176 St,411S,Mt Eden Av,60,NA
B19S,18 Av,B20S,20 Av,60,NA
N05S,18 Av,N06S,20 Av,60,NA
B19N,18 Av,B18N,79 St,90,NA
F30S,18 Av,F31S,Avenue I,60,NA
F30N,18 Av,F29N,Ditmas Av,90,NA
N05N,18 Av,N04N,New Utrecht Av,90,NA
131S,18 St,132S,14 St,60,NA
131N,18 St,130N,23 St,60,NA
111S,181 St,112S,168 St-Washington Hts,120,NA
A06S,181 St,A07S,175 St,60,NA
A06N,181 St,A05N,190 St,120,NA
111N,181 St,110N,191 St,90,NA
D06N,182-183 Sts,D05N,Fordham Rd,90,NA
D06S,182-183 Sts,D07S,Tremont Av,90,NA
408S,183 St,409S,Burnside Av,90,NA
408N,183 St,407N,Fordham Rd,60,NA
A05S,190 St,A06S,181 St,120,NA
A05N,190 St,A03N,Dyckman St,120,NA
110S,191 St,111S,181 St,90,NA
110N,191 St,109N,Dyckman St,60,NA
F14N,2 Av,D21N,Broadway-Lafayette St,90,NA
F14S,2 Av,F15S,Delancey St-Essex St,90,NA
B20N,20 Av,B19N,18 Av,60,NA
N06N,20 Av,N05N,18 Av,60,NA
